Age,Income,Churn,Outage_sec_perweek,Yearly_equip_failure,Techie,Tenure,MonthlyCharge,Bandwidth_GB_Year,SatisfactionScore,features_score
0.764044944,0.11032025,0,0.376211767,0.166666667,0,0.094383435,0.594346288,0.126349506,0.515625,0.636363636
0.303370787,0.083834343,1,0.551661223,0.166666667,1,0.016065237,0.836202626,0.111884728,0.4375,0.636363636
0.561797753,0.037116817,0,0.507040141,0.166666667,1,0.218810596,0.551239258,0.287010331,0.421875,0.454545455
0.539325843,0.073098412,0,0.70323665,0,1,0.237325888,0.413416184,0.302357789,0.453125,0.363636364
0.93258427,0.154785947,1,0.384185247,0.166666667,0,0.023208263,0.51677804,0.037923374,0.5,0.272727273
0.93258427,0.087524676,0,0.397085533,0.166666667,0,0.097237372,0.637605776,0.145182006,0.375,0.636363636
0.887640449,0.044293044,1,0.527312893,0.166666667,1,0.183846634,0.689683333,0.266411925,0.578125,0.363636364
0.337078652,0.103358701,1,0.36740851,0,1,0.059226589,0.396163858,0.136836529,0.390625,0.181818182
0.550561798,0.226474899,0,0.270618471,0.5,0,0.114177785,0.404840746,0.183388038,0.484375,0.454545455
0.966292135,0.194018015,0,0.410610832,0,0,0.047529634,0.559976199,0.071066321,0.328125,0.545454545
0.258426966,0.087217609,0,0.440497557,0.333333333,0,0.267604577,0.602971181,0.381166066,0.5,0.454545455
0.629213483,0.070846158,0,0.315029301,0.166666667,0,0.146140888,0.51682552,0.164909734,0.46875,0.363636364
0.93258427,0.323178269,0,0.390148321,0,0,0.180717681,0.473666784,0.167116639,0.296875,0.272727273
0.325842697,0.444628269,0,0.27729361,0,0,0.234436871,0.6374811,0.272202053,0.546875,0.727272727
0.337078652,0.248190947,1,0.555982949,0,0,0.139726927,0.551301285,0.221021824,0.390625,0.363636364
0.438202247,0.343998491,1,0.50919365,0,0,0.192641744,0.612251034,0.257021158,0.390625,0.454545455
0.707865169,0.122283563,1,0.637659603,0,0,0.219199566,0.67192682,0.289199152,0.46875,0.636363636
0.674157303,0.17050093,1,0.463581209,0,0,0.031991156,0.698521026,0.123215336,0.375,0.545454545
0.685393258,0.151649416,0,0.451487984,0,1,0.237641583,0.525540181,0.256054854,0.421875,0.636363636
0.258426966,0.075298174,1,0.515040363,0,0,0.177865782,0.516765467,0.272954436,0.515625,0.454545455
0.426966292,0.153047906,0,0.569099443,0.5,0,0.284086026,0.637505025,0.325509063,0.34375,0.545454545
0.337078652,0.176571442,0,0.329363889,0,0,0.03355591,0.439398146,0.082987209,0.515625,0.363636364
0.584269663,0.105994422,0,0.441975555,0.166666667,0,0.092394325,0.430673777,0.099603759,0.40625,0.272727273
0.764044944,0.307838565,0,0.335219625,0,0,0.118664391,0.51677804,0.132054797,0.46875,0.454545455
0.842696629,0.1101593,1,0.648266117,0,0,0.080145422,0.560076951,0.121632069,0.421875,0.545454545
0.865168539,0.048508289,1,0.460586978,0,0,0.057746064,0.318635032,0.108156685,0.5,0.181818182
0.528089888,0.03384398,1,0.74798932,0.166666667,0,0.144525075,0.767335191,0.210426949,0.5,0.545454545
0.786516854,0.169496336,1,0.694872752,0,0,0.019339457,0.482428925,0.058534833,0.328125,0.545454545
0.224719101,0.040488573,1,0.633544598,0,1,0.019866753,0.689730814,0.175920588,0.390625,0.363636364
0.775280899,0.129172266,1,0.500670117,0,0,0.075360281,0.8879627,0.243766721,0.484375,0.818181818
0.505617978,0.167568261,0,0.311834338,0,0,0.153930999,0.793028391,0.250798398,0.34375,0.454545455
0.449438202,0.084178529,0,0.209844469,0,0,0.049808816,0.508303353,0.068791332,0.375,0.454545455
0.921348315,0.200696676,1,0.413761809,0,0,0.065659085,0.793028391,0.141638939,0.5,0.636363636
0.831460674,0.100200965,1,0.524900609,0.166666667,0,0.290271168,0.602971181,0.374460424,0.46875,0.454545455
0.775280899,0.043304595,1,0.261271697,0,0,0.048213586,0.922472619,0.151112496,0.609375,0.727272727
0.584269663,0.031994081,1,0.650899561,0.166666667,0,0.07609256,0.559978174,0.169012595,0.40625,0.636363636
0.292134831,0.039068299,1,0.769093737,0.166666667,0,0.046014414,0.792642452,0.12537951,0.515625,0.818181818
0.280898876,0.13993477,0,0.445469199,0,0,0.099467514,0.482496829,0.187306908,0.484375,0.636363636
0.741573034,0.098097224,0,0.79412498,0,0,0.136773613,0.637457544,0.155607442,0.46875,0.545454545
0.808988764,0.194423963,0,0.375957808,0.166666667,0,0.222808955,0.508250083,0.213732042,0.5,0.363636364
0.235955056,0.147590833,0,0.538928942,0,0,0.127498711,0.594354346,0.183005646,0.453125,0.454545455
0.617977528,0.204276234,0,0.380127833,0,0,0.041706748,0.370423177,0.124723634,0.40625,0.454545455
0.460674157,0.046362679,1,0.591682224,0.333333333,0,0.054504291,0.879313882,0.157226141,0.40625,0.636363636
0.359550562,0.093049652,0,0.389284913,0,0,0.257775751,0.663278002,0.281702756,0.40625,0.636363636
0.247191011,0.058470023,1,0.620385439,0,0,0.122201624,0.836202626,0.197337171,0.46875,0.636363636
0.494382022,0.210344661,1,0.499056776,0,0,0.144132085,0.844964768,0.238956512,0.375,0.909090909
0.258426966,0.510297307,1,0.58951515,0,0,0.309135685,0.637457544,0.333131151,0.421875,0.636363636
0.483146067,0.144295207,1,0.459755689,0,1,0.130934403,0.672064399,0.169568399,0.453125,0.636363636
0.966292135,0.102487788,0,0.371040734,0.333333333,0,0.107783303,0.361741363,0.10336789,0.375,0.272727273
0.943820225,0.295212914,0,0.586392856,0.166666667,0,0.160688126,0.318748356,0.125432549,0.4375,0.363636364
0.696629213,0.018008333,1,0.422368413,0,0,0.046442465,0.63750925,0.143370187,0.390625,0.545454545
0.764044944,0.169257364,1,0.37794227,0,0,0.101930159,0.646732882,0.172404571,0.375,0.545454545
0.662921348,0.148286776,0,0.198535753,0,0,0.076202923,0.51682552,0.101602624,0.46875,0.363636364
0.348314607,0.170480806,1,0.525279641,0,1,0.021566719,0.585692956,0.063259135,0.4375,0.363636364
0.573033708,0.055483241,1,0.426151203,0,0,0.167775986,0.551424318,0.181125093,0.453125,0.545454545
0.651685393,0.2408642,0,0.514733241,0.166666667,0,0.194261896,0.447898032,0.257106896,0.484375,0.272727273
0.820224719,0.319175885,1,0.395512052,0.166666667,0,0.132826331,0.396163858,0.184988142,0.5,0.272727273
0.370786517,0.060603351,0,0.539857189,0.166666667,0,0.093514479,0.491162035,0.133837087,0.5625,0.545454545
0.651685393,0.056271381,1,0.48192281,0,0,0.218346239,0.758711573,0.261050989,0.484375,0.636363636
0.550561798,0.112813368,0,0.397296088,0,0,0.100468138,0.430721257,0.094526178,0.546875,0.272727273
0.292134831,0.213669681,0,0.395448702,0,0,0.03987579,0.568530056,0.151835495,0.515625,0.636363636
0.280898876,0.31607288,0,0.451073904,0,0,0.032568166,0.671962948,0.098443084,0.390625,0.545454545
0.471910112,0.386544532,1,0.508959297,0,0,0.1105639,0.5254188,0.197855105,0.5,0.545454545
0.91011236,0.270241255,0,0.286790921,0,0,0.170149879,0.318795837,0.153087112,0.5,0.272727273
0.483146067,0.13473772,0,0.638970881,0,1,0.133820554,0.43937389,0.151363356,0.453125,0.454545455
0.707865169,0.176261401,0,0.446570464,0,0,0.109953376,0.637453029,0.219393957,0.4375,0.545454545
0.786516854,0.042351102,1,0.292119862,0.166666667,0,0.062101615,0.91379573,0.140721547,0.390625,0.727272727
0.876404494,0.086385552,1,0.509451434,0,0,0.149867092,0.715499566,0.184806316,0.546875,0.272727273
0.539325843,0.203308064,0,0.37270544,0.166666667,0,0.170028845,0.525442356,0.252651286,0.28125,0.545454545
0.707865169,0.073573111,1,0.531637522,0.166666667,1,0.030609584,0.689730814,0.156480161,0.5,0.545454545
0.674157303,0.165255714,1,0.289032362,0,0,0.332245202,0.732891115,0.373905546,0.640625,0.727272727
0.97752809,0.301261758,1,0.375785255,0,1,0.051822646,0.879238331,0.177131849,0.484375,0.727272727
0.606741573,0.183496221,0,0.205975409,0,0,0.110835086,0.465091346,0.114915095,0.359375,0.363636364
0.393258427,0.029836652,1,0.295108049,0.166666667,0,0.127640792,0.879298384,0.220410058,0.390625,0.727272727
0.786516854,0.005830498,1,0.609375813,0,0,0.033036987,0.740854308,0.090619804,0.46875,0.454545455
0.752808989,0.313342953,1,0.586269285,0,0,0.075482237,0.931073956,0.23021409,0.4375,1
0.516853933,0.045560209,1,0.358733605,0,0,0.015171894,0.689844138,0.107289769,0.234375,0.454545455
0.561797753,0.288893927,0,0.350959071,0.166666667,0,0.27972354,0.516741911,0.338878422,0.390625,0.272727273
0.269662921,0.073536997,1,0.615093742,0,0,0.342348347,0.827525738,0.371630665,0.4375,0.545454545
0.224719101,0.305784303,0,0.702486048,0,0,0.134414918,0.439398146,0.157780376,0.453125,0.454545455
0.325842697,0.144566083,1,0.650439702,0.166666667,0,0.136503866,0.646572077,0.247420934,0.421875,0.363636364
0.348314607,0.174384928,0,0.738608758,0,1,0.108782599,0.585858685,0.131769678,0.4375,0.454545455
0.808988764,0.28912811,0,0.401443406,0,0,0.270177408,0.663278002,0.266409566,0.453125,0.454545455
0.797752809,0.175062717,0,0.389729902,0,0,0.199275909,0.413581913,0.263436111,0.4375,0.545454545
0.359550562,0.276538997,0,0.405651676,0,0,0.031352635,0.672064399,0.088244666,0.484375,0.636363636
0.370786517,0.040131023,0,0.284808335,0,0,0.032752247,0.482343672,0.078587725,0.453125,0.363636364
0.752808989,0.075925403,0,0.688644452,0,1,0.064592267,0.396277182,0.082952539,0.375,0.363636364
0.741573034,0.107481478,1,0.343000284,0.166666667,0,0.051692004,0.715600317,0.108577465,0.421875,0.454545455
0.235955056,0.060289717,1,0.420328135,0,0,0.052315034,0.646572077,0.19460852,0.453125,0.454545455
0.685393258,0.076537568,0,0.546665673,0.333333333,0,0.057657144,0.465091346,0.054987074,0.4375,0.454545455
0.842696629,0.225889308,1,0.391106053,0,0,0.030402072,0.663325482,0.057235461,0.390625,0.454545455
0.707865169,0.160897711,1,0.71658604,0,0,0.19243169,0.76725964,0.298660031,0.359375,0.636363636
0.764044944,0.446157388,0,0.239731975,0,0,0.045463703,0.559928719,0.062017605,0.359375,0.545454545
0.359550562,0.061186354,1,0.327378658,0.166666667,0,0.274322736,0.551348766,0.346610644,0.34375,0.454545455
0.853932584,0.313353382,0,0.463715404,0,0,0.255337497,0.63750925,0.311994298,0.40625,0.636363636
0.325842697,0.093745903,1,0.521510944,0,0,0.064898274,0.844864016,0.161882063,0.53125,0.636363636
0.93258427,0.210375368,0,0.416564298,0.166666667,0,0.094394358,0.430721257,0.073949899,0.4375,0.181818182
0.258426966,0.250354055,1,0.248560787,0.166666667,0,0.180229202,0.64614249,0.273325003,0.328125,0.545454545
0.898876404,0.399038164,0,0.443012277,0,0,0.282110022,0.560038227,0.287245003,0.53125,0.545454545
0.224719101,0.155314528,0,0.682578229,0.166666667,0,0.097207106,0.628851692,0.149095275,0.546875,0.454545455
0.775280899,0.224322993,1,0.503754314,0.166666667,0,0.200876152,0.767372963,0.25228883,0.421875,0.545454545
0.359550562,0.167888113,0,0.65045006,0,0,0.154651046,0.628851692,0.195236951,0.421875,0.454545455
0.595505618,0.089956381,1,0.584790544,0,0,0.035310166,0.758759054,0.112925066,0.390625,0.636363636
0.280898876,0.189873917,0,0.483228195,0,0,0.23925277,0.5856694,0.263518918,0.4375,0.363636364
0.775280899,0.014699999,1,0.700759569,0.333333333,0,0.316561919,0.706380518,0.320544927,0.40625,0.545454545
0.797752809,0.203229539,1,0.316732833,0.166666667,0,0.05310754,0.706380518,0.115427275,0.390625,0.454545455
0.595505618,0.118000531,1,0.383093232,0,0,0.149598562,0.844803963,0.289504703,0.375,0.545454545
0.629213483,0.046944678,1,0.688878124,0.333333333,0,0.181762411,0.594407616,0.200697548,0.40625,0.636363636
